SRC	TRG	PINYIN_STR	PINYIN_CHAR
briggs	布里格斯	bu li ge si	b u l i g e s i
alker	阿尔克	a er ke	a e r k e
laitin	莱廷	lai ting	l a i t i n g
comden	科姆登	ke mu deng	k e m u d e n g
arter	阿特	a te	a t e
crepps	克雷普斯	ke lei pu si	k e l e i p u s i
drummond	德拉蒙德	de la meng de	d e l a m e n g d e
forson	福森	fu sen	f u s e n
lare	拉尔	la er	l a e r
mayewski	马耶夫斯基	ma ye fu si ji	m a y e f u s i j i
seaver	西弗	xi fu	x i f u
lendell	伦德尔	lun de er	l u n d e e r
wikeley	威克利	wei ke li	w e i k e l i
lipmann	李普曼	li pu man	l i p u m a n
ruffin	拉芬	la fen	l a f e n
creedy	克里迪	ke li di	k e l i d i
daane	达恩	da en	d a e n
golseth	戈尔塞思	ge er sai si	g e e r s a i s i
dadisman	达迪斯曼	da di si man	d a d i s i m a n
bradly	布拉德利	bu la de li	b u l a d e l i
mosemann	莫斯曼	mo si man	m o s i m a n
gere	盖尔	gai er	g a i e r
gately	盖特利	gai te li	g a i t e l i
dentzer	登策	deng ce	d e n g c e
muhly	米利	mi li	m i l i
scordato	斯科达托	si ke da tuo	s i k e d a t u o
ollie	奥利	ao li	a o l i
sammut	萨马特	sa ma te	s a m a t e
bunny	邦尼	bang ni	b a n g n i
bondareff	邦达尔夫	bang da er fu	b a n g d a e r f u
bilby	比尔比	bi er bi	b i e r b i
ranson	兰森	lan sen	l a n s e n
coachman	科奇曼	ke qi man	k e q i m a n
mcfate	麦克法特	mai ke fa te	m a i k e f a t e
castex	卡斯特克斯	ka si te ke si	k a s i t e k e s i
rohlman	罗尔曼	luo er man	l u o e r m a n
monticciolo	蒙蒂乔洛	meng di qiao luo	m e n g d i q i a o l u o
sparke	斯帕克	si pa ke	s i p a k e
hooten	胡滕	hu teng	h u t e n g
izzo	伊佐	yi zuo	y i z u o
mcdonaugh	麦克多诺	mai ke duo nuo	m a i k e d u o n u o
stefanie	斯蒂芬妮	si di fen ni	s i d i f e n n i
ferrario	费拉里奥	fei la li ao	f e i l a l i a o
bettany	贝塔尼	bei ta ni	b e i t a n i
duald	杜尔德	du er de	d u e r d e
stoekoe	斯托科	si tuo ke	s i t u o k e
hillyard	希利亚德	xi li ya de	x i l i y a d e
bobbs	鲍勃斯	bao bo si	b a o b o s i
dostert	多斯特尔特	duo si te er te	d u o s i t e e r t e
brabrooke	布雷布鲁克	bu lei bu lu ke	b u l e i b u l u k e
gluth	格卢思	ge lu si	g e l u s i
traynor	特雷纳	te lei na	t e l e i n a
chesney	切斯尼	qie si ni	q i e s i n i
encinias	恩西尼亚斯	en xi ni ya si	e n x i n i y a s i
coons	孔斯	kong si	k o n g s i
ciancio	钱乔	qian qiao	q i a n q i a o
berihert	贝里赫特	bei li he te	b e i l i h e t e
lygren	利格伦	li ge lun	l i g e l u n
masey	马西	ma xi	m a x i
yeardley	亚德利	ya de li	y a d e l i
batey	贝蒂	bei di	b e i d i
ciment	西门特	xi men te	x i m e n t e
boley	博利	bo li	b o l i
robery	罗伯里	luo bo li	l u o b o l i
mcelvain	麦克尔文	mai ke er wen	m a i k e e r w e n
rothko	罗思科	luo si ke	l u o s i k e
scammell	斯卡梅尔	si ka mei er	s i k a m e i e r
westervelt	韦斯特维尔特	wei si te wei er te	w e i s i t e w e i e r t e
felker	费尔克	fei er ke	f e i e r k e
theard	西尔德	xi er de	x i e r d e
duerinck	迪林克	di lin ke	d i l i n k e
garroway	加罗韦	jia luo wei	j i a l u o w e i
southerland	萨瑟兰	sa se lan	s a s e l a n
kerri	克里	ke li	k e l i
wetherill	韦瑟里尔	wei se li er	w e i s e l i e r
drebsky	德雷布斯基	de lei bu si ji	d e l e i b u s i j i
mintener	明特纳	ming te na	m i n g t e n a
edmonds	埃德蒙兹	ai de meng zi	a i d e m e n g z i
rossellini	罗塞利尼	luo sai li ni	l u o s a i l i n i
colvile	科尔维尔	ke er wei er	k e e r w e i e r
killearn	基勒恩	ji le en	j i l e e n
affourtit	阿富尔蒂特	a fu er di te	a f u e r d i t e
megone	梅冈	mei gang	m e i g a n g
edens	埃登斯	ai deng si	a i d e n g s i
hoelscher	霍尔舍	huo er she	h u o e r s h e
capron	凯普伦	kai pu lun	k a i p u l u n
bernecker	贝内克	bei nei ke	b e i n e i k e
mende	门德	men de	m e n d e
blaskey	布拉斯基	bu la si ji	b u l a s i j i
rolls	罗尔斯	luo er si	l u o e r s i
laves	莱夫斯	lai fu si	l a i f u s i
makinson	梅金森	mei jin sen	m e i j i n s e n
gilliom	吉利奥姆	ji li ao mu	j i l i a o m u
lydekker	莱德克	lai de ke	l a i d e k e
geenty	吉恩蒂	ji en di	j i e n d i
mosse	莫斯	mo si	m o s i
syron	赛伦	sai lun	s a i l u n
mosk	莫斯克	mo si ke	m o s i k e
olaughlin	奥劳克林	ao lao ke lin	a o l a o k e l i n
suda	苏达	su da	s u d a
mansbridge	曼斯布里奇	man si bu li qi	m a n s i b u l i q i
hirshen	赫申	he shen	h e s h e n
draper	德雷珀	de lei po	d e l e i p o
sibyl	西比尔	xi bi er	x i b i e r
ilay	艾莱	ai lai	a i l a i
pullin	普林	pu lin	p u l i n
landefeld	兰德费尔德	lan de fei er de	l a n d e f e i e r d e
simmen	西门	xi men	x i m e n
laukhuff	劳卡夫	lao ka fu	l a o k a f u
shabecoff	沙别科夫	sha bie ke fu	s h a b i e k e f u
brecht	布雷赫特	bu lei he te	b u l e i h e t e
brinck	布林克	bu lin ke	b u l i n k e
delafons	德拉方斯	de la fang si	d e l a f a n g s i
berend	贝伦德	bei lun de	b e i l u n d e
coulcher	库尔彻	ku er che	k u e r c h e
vallery	瓦勒里	wa le li	w a l e l i
rokison	罗基森	luo ji sen	l u o j i s e n
pynson	平森	ping sen	p i n g s e n
koffler	科夫勒	ke fu le	k e f u l e
shivas	希弗斯	xi fu si	x i f u s i
moniz	莫尼兹	mo ni zi	m o n i z i
youman	尤曼	you man	y o u m a n
cole	科尔	ke er	k e e r
simon	西蒙	xi meng	x i m e n g
barnhart	巴恩哈特	ba en ha te	b a e n h a t e
jeffcoate	杰夫科特	jie fu ke te	j i e f u k e t e
bohlen	波伦	bo lun	b o l u n
thorek	托雷克	tuo lei ke	t u o l e i k e
vonraab	冯拉布	feng la bu	f e n g l a b u
elwane	埃尔温	ai er wen	a i e r w e n
hinsey	欣西	xin xi	x i n x i
powhatan	波瓦坦	bo wa tan	b o w a t a n
remsberg	雷姆斯伯格	lei mu si bo ge	l e i m u s i b o g e
blackwelder	布莱克韦尔德	bu lai ke wei er de	b u l a i k e w e i e r d e
romoda	罗莫达	luo mo da	l u o m o d a
creedon	克里登	ke li deng	k e l i d e n g
brandtner	布兰特纳	bu lan te na	b u l a n t e n a
bolker	博尔克	bo er ke	b o e r k e
autry	奥特里	ao te li	a o t e l i
sandrak	桑德拉克	sang de la ke	s a n g d e l a k e
lyall	莱尔	lai er	l a i e r
leval	勒瓦尔	le wa er	l e w a e r
dinoso	迪诺索	di nuo suo	d i n u o s u o
groo	格鲁	ge lu	g e l u
hetbero	赫特贝罗	he te bei luo	h e t e b e i l u o
tauber	陶伯	tao bo	t a o b o
wheat	惠特	hui te	h u i t e
carias	卡里亚斯	ka li ya si	k a l i y a s i
goodman	古德曼	gu de man	g u d e m a n
heulwen	海尔温	hai er wen	h a i e r w e n
weinel	韦内尔	wei nei er	w e i n e i e r
symon	西蒙	xi meng	x i m e n g
hendrik	亨德里克	heng de li ke	h e n g d e l i k e
bolcom	博尔科姆	bo er ke mu	b o e r k e m u
stieg	斯蒂格	si di ge	s i d i g e
outhouse	奥特豪斯	ao te hao si	a o t e h a o s i
ninian	尼尼安	ni ni an	n i n i a n
doss	多斯	duo si	d u o s i
mossbauer	莫斯鲍尔	mo si bao er	m o s i b a o e r
hanify	哈尼菲	ha ni fei	h a n i f e i
lunde	伦德	lun de	l u n d e
keevey	基维	ji wei	j i w e i
hallie	哈利	ha li	h a l i
warriston	沃里斯顿	wo li si dun	w o l i s i d u n
yep	耶普	ye pu	y e p u
fiala	菲亚拉	fei ya la	f e i y a l a
dyneley	戴恩利	dai en li	d a i e n l i
pickwell	皮克韦尔	pi ke wei er	p i k e w e i e r
beamesderfer	比姆斯德弗	bi mu si de fu	b i m u s i d e f u
ofelia	奥费利娅	ao fei li ya	a o f e i l i y a
wool	伍尔	wu er	w u e r
mccoy	麦科伊	mai ke yi	m a i k e y i
kerruish	克鲁伊什	ke lu yi shi	k e l u y i s h i
hulpieu	赫尔皮尤	he er pi you	h e e r p i y o u
domino	多米诺	duo mi nuo	d u o m i n u o
delrenzio	德尔伦齐奥	de er lun qi ao	d e e r l u n q i a o
gonthier	贡蒂尔	gong di er	g o n g d i e r
wikins	威金斯	wei jin si	w e i j i n s i
biroum	比鲁姆	bi lu mu	b i l u m u
blamire	布拉迈尔	bu la mai er	b u l a m a i e r
tkach	特卡奇	te ka qi	t e k a q i
bamfylde	班菲尔德	ban fei er de	b a n f e i e r d e
ussher	厄谢尔	e xie er	e x i e e r
cuber	丘伯尔	qiu bo er	q i u b o e r
anable	阿纳布尔	a na bu er	a n a b u e r
holgate	霍尔盖特	huo er gai te	h u o e r g a i t e
waldes	沃尔兹	wo er zi	w o e r z i
deion	戴恩	dai en	d a i e n
daniella	丹妮拉	dan ni la	d a n n i l a
fuks	富克斯	fu ke si	f u k e s i
delorme	德洛姆	de luo mu	d e l u o m u
watkin	沃特金	wo te jin	w o t e j i n
ed	埃德	ai de	a i d e
wing	温	wen	w e n
mcquisten	麦奎斯滕	mai kui si teng	m a i k u i s i t e n g
crowninshield	克劳宁希尔德	ke lao ning xi er de	k e l a o n i n g x i e r d e
edgar	埃德加	ai de jia	a i d e j i a
edwood	埃德伍德	ai de wu de	a i d e w u d e
pococke	波科克	bo ke ke	b o k e k e
malpass	马尔帕斯	ma er pa si	m a e r p a s i
wallin	沃林	wo lin	w o l i n
juergens	于尔根斯	yu er gen si	y u e r g e n s i
roupell	鲁佩尔	lu pei er	l u p e i e r
wilding	怀尔丁	huai er ding	h u a i e r d i n g
maccio	马乔	ma qiao	m a q i a o
scarf	斯卡夫	si ka fu	s i k a f u
allyson	阿利森	a li sen	a l i s e n
dumphry	邓弗里	deng fu li	d e n g f u l i
senses	森西斯	sen xi si	s e n x i s i
codd	科德	ke de	k e d e
busbey	巴斯比	ba si bi	b a s i b i
schwinn	施温	shi wen	s h i w e n
gring	格林	ge lin	g e l i n
ambler	安布勒	an bu le	a n b u l e
demontmollin	德蒙特莫林	de meng te mo lin	d e m e n g t e m o l i n
nebehay	内贝海	nei bei hai	n e i b e i h a i
rubach	鲁巴赫	lu ba he	l u b a h e
knowles	诺尔斯	nuo er si	n u o e r s i
rulon	鲁伦	lu lun	l u l u n
demarchi	德马基	de ma ji	d e m a j i
lehr	莱尔	lai er	l a i e r
havel	哈韦尔	ha wei er	h a w e i e r
almond	阿尔蒙德	a er meng de	a e r m e n g d e
lickess	利基斯	li ji si	l i j i s i
herman	赫尔曼	he er man	h e e r m a n
tahir	塔希尔	ta xi er	t a x i e r
sevringhaus	塞夫林豪斯	sai fu lin hao si	s a i f u l i n h a o s i
dowben	道本	dao ben	d a o b e n
leibell	利贝尔	li bei er	l i b e i e r
heuerman	霍伊尔曼	huo yi er man	h u o y i e r m a n
cernera	切尔内拉	qie er nei la	q i e e r n e i l a
haskell	哈斯克尔	ha si ke er	h a s i k e e r
kruegel	克鲁格尔	ke lu ge er	k e l u g e e r
castaldini	卡斯塔尔迪尼	ka si ta er di ni	k a s i t a e r d i n i
dalbert	达伯特	da bo te	d a b o t e
balne	鲍恩	bao en	b a o e n
hermandez	赫曼德兹	he man de zi	h e m a n d e z i
shrieves	施里夫斯	shi li fu si	s h i l i f u s i
beadon	比登	bi deng	b i d e n g
eassie	伊西	yi xi	y i x i
fauquier	福基尔	fu ji er	f u j i e r
kopin	科平	ke ping	k e p i n g
mylene	迈林	mai lin	m a i l i n
violete	维奥莉特	wei ao li te	w e i a o l i t e
branamour	布拉纳穆尔	bu la na mu er	b u l a n a m u e r
geraghty	杰拉蒂	jie la di	j i e l a d i
mosak	莫萨克	mo sa ke	m o s a k e
rosselot	罗斯洛特	luo si luo te	l u o s i l u o t e
blaquiere	布拉基埃	bu la ji ai	b u l a j i a i
ritger	里特格	li te ge	l i t e g e
kilcoin	基尔科因	ji er ke yin	j i e r k e y i n
killin	基林	ji lin	j i l i n
ereng	埃伦	ai lun	a i l u n
delk	德尔克	de er ke	d e e r k e
shaner	沙纳	sha na	s h a n a
pax	帕克斯	pa ke si	p a k e s i
dyche	戴奇	dai qi	d a i q i
peatfield	皮特菲尔德	pi te fei er de	p i t e f e i e r d e
pendrous	彭德勒斯	peng de le si	p e n g d e l e s i
ayn	艾恩	ai en	a i e n
janin	贾宁	jia ning	j i a n i n g
melasky	梅拉斯基	mei la si ji	m e i l a s i j i
freling	弗雷林	fu lei lin	f u l e i l i n
arden	阿登	a deng	a d e n g
leavis	利维斯	li wei si	l i w e i s i
aveni	阿韦尼	a wei ni	a w e i n i
askanas	阿斯卡纳斯	a si ka na si	a s i k a n a s i
delauder	德劳德	de lao de	d e l a o d e
sixpack	西克斯帕克	xi ke si pa ke	x i k e s i p a k e
timblick	蒂姆布利克	di mu bu li ke	d i m u b u l i k e
gradwohl	格拉德沃尔	ge la de wo er	g e l a d e w o e r
gardener	加德纳	jia de na	j i a d e n a
winograd	威诺格拉德	wei nuo ge la de	w e i n u o g e l a d e
embick	恩比克	en bi ke	e n b i k e
taveras	塔夫拉斯	ta fu la si	t a f u l a s i
clayden	克莱登	ke lai deng	k e l a i d e n g
allman	奥尔曼	ao er man	a o e r m a n
deluigi	德路易吉	de lu yi ji	d e l u y i j i
ferko	费尔科	fei er ke	f e i e r k e
arledge	阿利奇	a li qi	a l i q i
holloway	霍洛韦	huo luo wei	h u o l u o w e i
danbrunt	丹布伦特	dan bu lun te	d a n b u l u n t e
sullivan	沙利文	sha li wen	s h a l i w e n
meinertzhagen	迈纳茨哈根	mai na ci ha gen	m a i n a c i h a g e n
karness	卡尼斯	ka ni si	k a n i s i
alloy	阿洛伊	a luo yi	a l u o y i
sorgeloost	索奇卢斯特	suo qi lu si te	s u o q i l u s i t e
nineham	宁哈姆	ning ha mu	n i n g h a m u
groh	格罗	ge luo	g e l u o
corbato	科巴托	ke ba tuo	k e b a t u o
somerset	萨默塞特	sa mo sai te	s a m o s a i t e
jeffries	杰弗里斯	jie fu li si	j i e f u l i s i
bulow	布洛	bu luo	b u l u o
bebler	贝布勒	bei bu le	b e i b u l e
saich	赛什	sai shi	s a i s h i
leta	利塔	li ta	l i t a
pip	皮普	pi pu	p i p u
ottenbrite	奥滕布赖特	ao teng bu lai te	a o t e n g b u l a i t e
houldsworth	霍兹沃思	huo zi wo si	h u o z i w o s i
pender	彭德	peng de	p e n g d e
bonica	博尼卡	bo ni ka	b o n i k a
moritz	莫里茨	mo li ci	m o l i c i
zuroweste	朱罗韦斯特	zhu luo wei si te	z h u l u o w e i s i t e
buxton	巴克斯顿	ba ke si dun	b a k e s i d u n
hiles	海尔斯	hai er si	h a i e r s i
bedingfeld	贝丁菲尔德	bei ding fei er de	b e i d i n g f e i e r d e
spaul	斯波尔	si bo er	s i b o e r
gytha	吉莎	ji sha	j i s h a
bertera	伯特拉	bo te la	b o t e l a
haacke	哈克	ha ke	h a k e
knower	诺尔	nuo er	n u o e r
thaddeus	撒迪厄斯	sa di e si	s a d i e s i
gazzara	加扎拉	jia zha la	j i a z h a l a
yard	亚德	ya de	y a d e
naphtali	纳夫塔利	na fu ta li	n a f u t a l i
werrell	沃雷尔	wo lei er	w o l e i e r
truly	特鲁利	te lu li	t e l u l i
grove	格罗夫	ge luo fu	g e l u o f u
shuck	沙克	sha ke	s h a k e
bath	巴思	ba si	b a s i
vanderpoel	范德普尔	fan de pu er	f a n d e p u e r
kempf	肯普夫	ken pu fu	k e n p u f u
kohlman	科尔曼	ke er man	k e e r m a n
einar	埃纳	ai na	a i n a
ansh	安什	an shi	a n s h i
johrde	乔德	qiao de	q i a o d e
newport	纽波特	niu bo te	n i u b o t e
batiste	巴蒂斯特	ba di si te	b a d i s i t e
shumway	沙姆韦	sha mu wei	s h a m u w e i
gawen	高恩	gao en	g a o e n
dreifuss	德赖弗斯	de lai fu si	d e l a i f u s i
sophronia	索夫罗尼娅	suo fu luo ni ya	s u o f u l u o n i y a
cheverton	谢弗顿	xie fu dun	x i e f u d u n
morales	莫拉莱斯	mo la lai si	m o l a l a i s i
bergfors	伯格弗斯	bo ge fu si	b o g e f u s i
henebry	赫尼布里	he ni bu li	h e n i b u l i
elders	埃尔德斯	ai er de si	a i e r d e s i
barteau	巴尔托	ba er tuo	b a e r t u o
dooling	杜林	du lin	d u l i n
huckelsby	赫克尔斯比	he ke er si bi	h e k e e r s i b i
hedlin	赫德林	he de lin	h e d e l i n
derlip	德利普	de li pu	d e l i p u
demenil	德梅尼尔	de mei ni er	d e m e i n i e r
iglehart	伊格尔哈特	yi ge er ha te	y i g e e r h a t e
slavin	斯莱文	si lai wen	s i l a i w e n
wycliffe	威克利夫	wei ke li fu	w e i k e l i f u
gooing	古英	gu ying	g u y i n g
kiewit	基威特	ji wei te	j i w e i t e
bellamont	贝拉蒙特	bei la meng te	b e i l a m e n g t e
stoopin	斯图平	si tu ping	s i t u p i n g
keigwin	凯格温	kai ge wen	k a i g e w e n
goldstine	戈德斯坦	ge de si tan	g e d e s i t a n
axling	阿克斯林	a ke si lin	a k e s i l i n
packer	帕克	pa ke	p a k e
hornak	霍纳克	huo na ke	h u o n a k e
zack	扎克	zha ke	z h a k e
stegman	斯特格曼	si te ge man	s i t e g e m a n
mcnab	麦克纳布	mai ke na bu	m a i k e n a b u
culley	卡利	ka li	k a l i
cardamone	卡达蒙	ka da meng	k a d a m e n g
seyd	赛义德	sai yi de	s a i y i d e
searcy	瑟西	se xi	s e x i
fraknoi	弗拉克诺伊	fu la ke nuo yi	f u l a k e n u o y i
meekins	米金斯	mi jin si	m i j i n s i
shumaker	休梅克	xiu mei ke	x i u m e i k e
tasca	塔斯卡	ta si ka	t a s i k a
shelby	谢尔比	xie er bi	x i e e r b i
seago	西戈	xi ge	x i g e
dines	丹斯	dan si	d a n s i
calapai	卡拉帕伊	ka la pa yi	k a l a p a y i
hightower	海托华	hai tuo hua	h a i t u o h u a
louisy	路易西	lu yi xi	l u y i x i
nevard	尼瓦德	ni wa de	n i w a d e
lobo	洛博	luo bo	l u o b o
polanyi	波拉尼	bo la ni	b o l a n i
meras	梅拉斯	mei la si	m e i l a s i
carlsen	卡尔森	ka er sen	k a e r s e n
pflager	弗莱格	fu lai ge	f u l a i g e
yuenger	延格尔	yan ge er	y a n g e e r
terrick	特里克	te li ke	t e l i k e
lamp	兰普	lan pu	l a n p u
riland	里兰	li lan	l i l a n
francine	弗朗辛	fu lang xin	f u l a n g x i n
char	查尔	cha er	c h a e r
clynch	克林奇	ke lin qi	k e l i n q i
alard	阿拉德	a la de	a l a d e
correl	科雷尔	ke lei er	k e l e i e r
pouland	普兰	pu lan	p u l a n
franke	弗兰克	fu lan ke	f u l a n k e
lefevre	勒费夫尔	le fei fu er	l e f e i f u e r
spratt	斯普拉特	si pu la te	s i p u l a t e
gliksten	格利克斯滕	ge li ke si teng	g e l i k e s i t e n g
dillwyn	迪尔温	di er wen	d i e r w e n
shimer	夏默	xia mo	x i a m o
donhaey	唐海	tang hai	t a n g h a i
hoddick	霍迪克	huo di ke	h u o d i k e
bujake	布亚克	bu ya ke	b u y a k e
saranna	萨兰娜	sa lan na	s a l a n n a
greenert	格林纳特	ge lin na te	g e l i n n a t e
truluck	特鲁拉克	te lu la ke	t e l u l a k e
parshley	帕什利	pa shi li	p a s h i l i
oswall	奥斯沃尔	ao si wo er	a o s i w o e r
bendix	本迪克斯	ben di ke si	b e n d i k e s i
fino	菲诺	fei nuo	f e i n u o
carrick	卡里克	ka li ke	k a l i k e
brunauer	布鲁诺尔	bu lu nuo er	b u l u n u o e r
whatley	惠特利	hui te li	h u i t e l i
amend	阿门德	a men de	a m e n d e
kistler	基斯特勒	ji si te le	j i s i t e l e
coolbrith	库尔布里思	ku er bu li si	k u e r b u l i s i
loeffke	勒夫克	le fu ke	l e f u k e
sion	赛恩	sai en	s a i e n
furter	弗特	fu te	f u t e
bellingham	贝林厄姆	bei lin e mu	b e i l i n e m u
faverty	法弗蒂	fa fu di	f a f u d i
hagan	黑根	hei gen	h e i g e n
dunrossil	邓罗西尔	deng luo xi er	d e n g l u o x i e r
habakkuk	哈巴卡克	ha ba ka ke	h a b a k a k e
assheton	阿什顿	a shi dun	a s h i d u n
maccrie	麦克里	mai ke li	m a i k e l i
hazzard	哈泽德	ha ze de	h a z e d e
remarque	雷马克	lei ma ke	l e i m a k e
loader	洛德	luo de	l u o d e
grindea	格林迪亚	ge lin di ya	g e l i n d i y a
jeffords	杰福兹	jie fu zi	j i e f u z i
tursi	图尔西	tu er xi	t u e r x i
gerbold	格博尔德	ge bo er de	g e b o e r d e
hellier	赫利尔	he li er	h e l i e r
swetman	斯韦特曼	si wei te man	s i w e i t e m a n
torre	托尔	tuo er	t u o e r
offenburger	奥芬伯格	ao fen bo ge	a o f e n b o g e
lockey	洛基	luo ji	l u o j i
aufenkamp	奥芬坎普	ao fen kan pu	a o f e n k a n p u
ambarose	安巴罗斯	an ba luo si	a n b a l u o s i
lancefield	兰斯菲尔德	lan si fei er de	l a n s i f e i e r d e
perrinott	佩里诺特	pei li nuo te	p e i l i n u o t e
engebretson	恩格布雷森	en ge bu lei sen	e n g e b u l e i s e n
reichhold	赖克霍德	lai ke huo de	l a i k e h u o d e
edgerton	埃杰顿	ai jie dun	a i j i e d u n
desforges	德福奇	de fu qi	d e f u q i
rechtin	雷克廷	lei ke ting	l e i k e t i n g
muscatine	马斯卡廷	ma si ka ting	m a s i k a t i n g
meletzke	梅莱茨克	mei lai ci ke	m e i l a i c i k e
lobrano	洛布拉诺	luo bu la nuo	l u o b u l a n u o
oake	奥克	ao ke	a o k e
mellinkoff	梅林科夫	mei lin ke fu	m e i l i n k e f u
wilges	威尔奇斯	wei er qi si	w e i e r q i s i
gollobin	戈洛宾	ge luo bin	g e l u o b i n
lamonte	拉蒙特	la meng te	l a m e n g t e
sproull	斯普劳尔	si pu lao er	s i p u l a o e r
behrends	贝伦兹	bei lun zi	b e i l u n z i
mcneice	麦克尼斯	mai ke ni si	m a i k e n i s i
etty	埃蒂	ai di	a i d i
zamboni	赞博尼	zan bo ni	z a n b o n i
blazer	布莱泽	bu lai ze	b u l a i z e
lazzaro	拉扎罗	la zha luo	l a z h a l u o
oedipus	奥迪珀斯	ao di po si	a o d i p o s i
maccalman	麦卡尔曼	mai ka er man	m a i k a e r m a n
macdonnell	麦克唐奈	mai ke tang nai	m a i k e t a n g n a i
uglow	厄格洛	e ge luo	e g e l u o
bunney	邦尼	bang ni	b a n g n i
fondahl	方达尔	fang da er	f a n g d a e r
ketelbey	基特尔比	ji te er bi	j i t e e r b i
greel	格里尔	ge li er	g e l i e r
ammi	安米	an mi	a n m i
griffen	格里芬	ge li fen	g e l i f e n
carters	卡特斯	ka te si	k a t e s i
keokuk	基奥卡克	ji ao ka ke	j i a o k a k e
aft	阿夫特	a fu te	a f u t e
arlando	阿兰多	a lan duo	a l a n d u o
falfan	福尔芬	fu er fen	f u e r f e n
pinn	平	ping	p i n g
basinski	巴辛斯基	ba xin si ji	b a x i n s i j i
ole	奥利	ao li	a o l i
feusi	福西	fu xi	f u x i
dollof	多洛夫	duo luo fu	d u o l u o f u
zellerbach	泽勒巴克	ze le ba ke	z e l e b a k e
roud	劳德	lao de	l a o d e
somervile	萨默维尔	sa mo wei er	s a m o w e i e r
fairley	费尔利	fei er li	f e i e r l i
mattei	马泰	ma tai	m a t a i
albright	奥尔布赖特	ao er bu lai te	a o e r b u l a i t e
quigg	奎格	kui ge	k u i g e
weatherhill	韦瑟希尔	wei se xi er	w e i s e x i e r
caleigh	凯利	kai li	k a i l i
sherrye	谢里	xie li	x i e l i
chennault	谢诺尔特	xie nuo er te	x i e n u o e r t e
mathea	玛西娅	ma xi ya	m a x i y a
cassaday	卡萨迪	ka sa di	k a s a d i
haylock	海洛克	hai luo ke	h a i l u o k e
carthage	卡萨奇	ka sa qi	k a s a q i
braasch	布拉施	bu la shi	b u l a s h i
pluto	普卢托	pu lu tuo	p u l u t u o
avoch	阿沃克	a wo ke	a w o k e
hosford	霍斯福德	huo si fu de	h u o s i f u d e
dickstein	迪克斯坦	di ke si tan	d i k e s i t a n
heslin	赫斯林	he si lin	h e s i l i n
vesci	韦西	wei xi	w e i x i
etter	埃特	ai te	a i t e
brotherton	布拉泽顿	bu la ze dun	b u l a z e d u n
russett	拉西特	la xi te	l a x i t e
colt	科尔特	ke er te	k e e r t e
olliffe	奥利夫	ao li fu	a o l i f u
carmela	卡梅拉	ka mei la	k a m e i l a
allo	阿洛	a luo	a l u o
horichens	霍里琴斯	huo li qin si	h u o l i q i n s i
hogarth	霍格思	huo ge si	h u o g e s i
valeotis	瓦莱奥蒂斯	wa lai ao di si	w a l a i a o d i s i
oakeley	奥克利	ao ke li	a o k e l i
gitterman	吉特曼	ji te man	j i t e m a n
sergent	瑟金特	se jin te	s e j i n t e
schedler	谢德勒	xie de le	x i e d e l e
clayson	克莱森	ke lai sen	k e l a i s e n
bontemps	邦当	bang dang	b a n g d a n g
heymann	海曼	hai man	h a i m a n
tresidder	特里西德	te li xi de	t e l i x i d e
hamor	哈默	ha mo	h a m o
blanchette	布兰切特	bu lan qie te	b u l a n q i e t e
seyom	西约姆	xi yue mu	x i y u e m u
mannella	曼内拉	man nei la	m a n n e i l a
kouwenhoven	考恩霍文	kao en huo wen	k a o e n h u o w e n
shkor	什科	shi ke	s h i k e
magyar	马吉亚尔	ma ji ya er	m a j i y a e r
hillgren	希尔格伦	xi er ge lun	x i e r g e l u n
dicks	迪克斯	di ke si	d i k e s i
appling	阿普林	a pu lin	a p u l i n
osullivan	奥沙利文	ao sha li wen	a o s h a l i w e n
lankes	兰克斯	lan ke si	l a n k e s i
cronshaw	克朗肖	ke lang xiao	k e l a n g x i a o
arno	阿尔诺	a er nuo	a e r n u o
jewson	朱森	zhu sen	z h u s e n
wilfley	威尔夫利	wei er fu li	w e i e r f u l i
gulbrandson	古尔布兰森	gu er bu lan sen	g u e r b u l a n s e n
grumbach	格伦巴赫	ge lun ba he	g e l u n b a h e
joycelyn	乔伊斯林	qiao yi si lin	q i a o y i s i l i n
donfried	唐弗里德	tang fu li de	t a n g f u l i d e
wattenberg	瓦滕伯格	wa teng bo ge	w a t e n g b o g e
feiring	费林	fei lin	f e i l i n
suffragan	萨弗雷根	sa fu lei gen	s a f u l e i g e n
airy	艾里	ai li	a i l i
nuttall	纳托尔	na tuo er	n a t u o e r
veazie	维齐	wei qi	w e i q i
trosten	特罗斯滕	te luo si teng	t e l u o s i t e n g
watson	沃森	wo sen	w o s e n
lillard	利拉德	li la de	l i l a d e
parkson	帕克森	pa ke sen	p a k e s e n
berninghausen	伯宁豪森	bo ning hao sen	b o n i n g h a o s e n
wedmore	韦德莫尔	wei de mo er	w e i d e m o e r
barringer	巴林杰	ba lin jie	b a l i n j i e
diven	戴文	dai wen	d a i w e n
galef	加利夫	jia li fu	j i a l i f u
pockney	波克尼	bo ke ni	b o k e n i
friel	弗里尔	fu li er	f u l i e r
pinta	平塔	ping ta	p i n g t a
coben	科本	ke ben	k e b e n
susman	萨斯曼	sa si man	s a s i m a n
crisci	克里希	ke li xi	k e l i x i
leavy	利维	li wei	l i w e i
lax	拉克斯	la ke si	l a k e s i
parland	帕兰	pa lan	p a l a n
